CPU3  9981342051329 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa3e7a07cf, cur_budget = 0x00000000002621b8 ]
CPU3  9981350529230 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3e7a1034, cur_budget = 0x00000000002621b8 ]
CPU3  9981358841608 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3e7a1034, cur_budget = 0x000000000000bd73 ]
CPU3  9981359014748 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa3f128ae9, cur_budget = 0x00000000002621b8 ]
CPU3  9981367493396 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa3f1295d4, cur_budget = 0x00000000002621b8 ]
CPU3  9981375972119 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa3f129e4f, cur_budget = 0x00000000002621b8 ]
CPU3  9981384450604 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3f12a6b4, cur_budget = 0x00000000002621b8 ]
CPU3  9981392762250 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3f12a6b4, cur_budget = 0x000000000000be9a ]
CPU3  9981392934786 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa3fab2169, cur_budget = 0x00000000002621b8 ]
CPU3  9981401413863 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa3fab2c54, cur_budget = 0x00000000002621b8 ]
CPU3  9981409892865 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa3fab34cf, cur_budget = 0x00000000002621b8 ]
CPU3  9981418371192 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3fab3d34, cur_budget = 0x00000000002621b8 ]
CPU3  9981426683857 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3fab3d34, cur_budget = 0x000000000000bd57 ]
CPU3  9981426856414 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4043b7e9, cur_budget = 0x00000000002621b8 ]
CPU3  9981435335020 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4043c2d4, cur_budget = 0x00000000002621b8 ]
CPU3  9981443817617 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4043cb4f, cur_budget = 0x00000000002621b8 ]
CPU3  9981452297698 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4043d3b4, cur_budget = 0x00000000002621b8 ]
CPU3  9981460608921 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4043d3b4, cur_budget = 0x000000000000bd9b ]
CPU3  9981460782451 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa40dc4e69, cur_budget = 0x00000000002621b8 ]
CPU3  9981466055654 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa40dc5954, cur_budget = 0x00000000002621b8 ]
CPU3  9981474534138 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa40dc61cf, cur_budget = 0x00000000002621b8 ]
CPU3  9981483013893 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa40dc6a34, cur_budget = 0x00000000002621b8 ]
CPU3  9981491492919 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981497934742 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4193e5c3, cur_budget = 0x0000000000231860 ]
CPU3  9981505738046 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981535240358 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa423bbe83, cur_budget = 0x0000000000231860 ]
CPU3  9981543043804 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981572554548 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa42e39743, cur_budget = 0x0000000000231860 ]
CPU3  9981580357924 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981609867895 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa438b7003, cur_budget = 0x0000000000231860 ]
CPU3  9981617670939 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981647185080 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa443348c3, cur_budget = 0x0000000000231860 ]
CPU3  9981654988498 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981684544254 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa44db2183, cur_budget = 0x0000000000231860 ]
CPU3  9981692315273 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981721857870 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4582fa43, cur_budget = 0x0000000000231860 ]
CPU3  9981729666132 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981759164077 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa462ad303, cur_budget = 0x0000000000231860 ]
CPU3  9981766976950 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981796512699 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa46d2abc3, cur_budget = 0x0000000000231860 ]
CPU3  9981804321700 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981833816326 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa477a8483, cur_budget = 0x0000000000231860 ]
CPU3  9981841629220 (+ )  rtds:schedule     [ dom:vcpu = 0x7fff0008, cur_deadline = 0x0000000000000000, cur_budget = 0x0000000000000000 ]
CPU3  9981848897145 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa47af0d39, cur_budget = 0x000000000026253c ]
CPU3  9981857382797 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa47af3d70, cur_budget = 0x000000000026253c ]
CPU3  9981865877697 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa47af69bd, cur_budget = 0x000000000026253c ]
